"filename", "language", "HTML", "TypeScript", "SCSS", "JSON", "comment", "blank", "total"
"c:\Users\PC\Documents\GitHub\riide\src\app\services\reservation.service.ts", "TypeScript", 0, 26, 0, 0, 0, 10, 36
"c:\Users\PC\Documents\GitHub\riide\src\assets\lang.json", "JSON", 0, 0, 0, 58, 0, 4, 62
"c:\Users\PC\Documents\GitHub\riide\src\environments\environment.prod.ts", "TypeScript", 0, 11, 0, 0, 0, 1, 12
"c:\Users\PC\Documents\GitHub\riide\src\environments\environment.ts", "TypeScript", 0, 11, 0, 0, 11, 3, 25
"c:\Users\PC\Documents\GitHub\riide\src\index.html", "HTML", 14, 0, 0, 0, 0, 2, 16
"c:\Users\PC\Documents\GitHub\riide\src\main.ts", "TypeScript", 0, 9, 0, 0, 0, 4, 13
"c:\Users\PC\Documents\GitHub\riide\src\polyfills.ts", "TypeScript", 0, 1, 0, 0, 57, 8, 66
"c:\Users\PC\Documents\GitHub\riide\src\styles.scss", "SCSS", 0, 0, 118, 0, 4, 1, 123
"c:\Users\PC\Documents\GitHub\riide\src\test.ts", "TypeScript", 0, 19, 0, 0, 4, 5, 28
"Total", "-", 606, 826, 285, 58, 177, 186, 2138
